"symbol","side","entry_time","exit_time","entry_price","exit_price","pnl","pnl_pct_on_margin","hold_bars","exit_reason","entry_models","tp1_hit"
"SOLUSDT","LONG","2026-02-14T16:45:00","2026-02-14T18:15:00","88.25218","87.93","-2.6586231","-0.01779686","6","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-02-14T22:30:00","2026-02-14T23:30:00","88.7329","88.24","-3.76676564","-0.0254106","4","STOP_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-02-16T14:00:00","2026-02-16T17:00:00","84.03376","84.13","-1.11003928","-0.00778285","12","STOP_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-02-18T18:30:00","2026-02-18T20:30:00","81.03826","81.5","-3.58946639","-0.02600033","8","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-02-20T00:00:00","2026-02-20T02:00:00","82.94423","83.02","0.06257083","0.00045256","8","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-02-21T02:15:00","2026-02-21T03:00:00","85.037365","84.37","-4.74752466","-0.03457906","3","STOP_EMA30","EMA_BB","False"
"SOLUSDT","LONG","2026-02-21T06:00:00","2026-02-21T06:15:00","84.877125","84.33","-3.95639424","-0.02897402","1","STOP_EMA30","EMA_MACD","False"
"SOLUSDT","LONG","2026-02-21T11:00:00","2026-02-21T12:30:00","85.738415","85.11","-4.39828359","-0.03250605","6","STOP_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-02-22T23:15:00","2026-02-23T04:45:00","82.605905","77.39","33.90777051","0.24946917","22","RUNNER_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-02-24T01:00:00","2026-02-24T02:15:00","77.353795","78.07","-5.72787716","-0.0402501","5","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-02-24T22:00:00","2026-02-25T00:00:00","79.37889","78.86","-4.04695999","-0.02933705","8","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-02-26T14:15:00","2026-02-26T14:30:00","87.9317","87.33","-4.06359698","-0.0305603","1","STOP_EMA30","EMA_MACD","False"
"SOLUSDT","SHORT","2026-02-27T00:30:00","2026-02-27T01:45:00","85.261915","86.15","-5.80996405","-0.04488052","5","STOP_EMA30","EMA_BB","False"
"SOLUSDT","SHORT","2026-02-27T16:30:00","2026-02-27T17:30:00","81.4776","81.44","-0.1773421","-0.00135336","4","STOP_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-03-02T07:00:00","2026-03-02T09:00:00","82.51604","83.8","-8.50184283","-0.0654654","8","STOP_EMA30","EMA_BB","False"
"SOLUSDT","SHORT","2026-03-02T13:45:00","2026-03-02T14:30:00","82.95538","84.78","-11.68708152","-0.09121598","3","STOP_EMA30","EMA_BB","False"
"SOLUSDT","SHORT","2026-03-03T14:30:00","2026-03-03T15:30:00","82.85553","84.54","-11.05937923","-0.08455335","4","STOP_EMA30","EMA_BB","False"
"SOLUSDT","LONG","2026-03-03T23:00:00","2026-03-04T02:15:00","87.220635","86.75","-3.19626691","-0.02477502","13","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-03-05T09:15:00","2026-03-05T12:15:00","91.487025","91.53","-0.1693974","-0.0013218","12","STOP_MACD","EMA_MACD","False"
"SOLUSDT","SHORT","2026-03-06T01:15:00","2026-03-06T01:30:00","88.02776","89.13","-6.82480268","-0.05330605","1","STOP_EMA30","EMA_BB","False"
"SOLUSDT","SHORT","2026-03-06T09:15:00","2026-03-06T11:15:00","87.199005","87.84","-4.11976693","-0.03261554","8","STOP_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-03-08T02:15:00","2026-03-08T02:30:00","82.63586","83.07","-3.04825553","-0.02422301","1","STOP_MACD","EMA_BB","False"
"SOLUSDT","SHORT","2026-03-08T12:00:00","2026-03-08T18:15:00","81.93691","81.68","1.15816421","0.00934686","25","STOP_MACD","EMA_MACD+EMA_BB","False"
"SOLUSDT","SHORT","2026-03-08T22:00:00","2026-03-08T23:00:00","81.168065","82.17","-6.48073446","-0.05259557","4","STOP_EMA30","EMA_MACD","False"
"SOLUSDT","LONG","2026-03-10T00:30:00","2026-03-10T01:15:00","85.918685","85.32","-3.77361016","-0.03106102","3","STOP_EMA30","EMA_MACD","False"
"SOLUSDT","SHORT","2026-03-11T11:30:00","2026-03-11T12:30:00","84.4731","85.04","-3.49524286","-0.03005479","4","STOP_MACD","EMA_BB","False"
"SOLUSDT","LONG","2026-03-13T08:30:00","2026-03-13T15:00:00","89.39389","90.87","7.14848702","0.06282328","26","STOP_MACD","EMA_MACD","False"
"SOLUSDT","SHORT","2026-03-14T06:15:00","2026-03-14T11:30:00","87.42866","86.9","2.39952257","0.02099671","21","STOP_MACD","EMA_BB","False"
