symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2026-02-13T23:15:00,2026-02-14T12:45:00,2053.365435,2069.66738245,0.7792086,400.0,4.0,11.41753656,0.02854384,54,STOP,EMA_MACD,False
BTCUSDT,LONG,2026-02-13T23:15:00,2026-02-14T13:00:00,69009.369015,69475.10952062,0.02311486,398.78543784,4.0,9.48510595,0.02378499,55,STOP,EMA_MACD,False
BNBUSDT,LONG,2026-02-14T13:45:00,2026-02-14T21:30:00,630.92497,629.63363218,2.57879662,406.75679498,4.0,-4.63038732,-0.01138368,31,STOP,EMA_MACD,False
SOLUSDT,LONG,2026-02-14T12:45:00,2026-02-14T21:30:00,86.54963,87.40157863,18.9435088,409.88841935,4.0,14.82079791,0.03615813,35,STOP,EMA_MACD,False
BTCUSDT,LONG,2026-02-14T21:30:00,2026-02-15T00:45:00,69965.69135,69613.53722265,0.02352029,411.40334562,4.0,-9.59594496,-0.02332491,13,STOP,EMA_MACD,False
SOLUSDT,LONG,2026-02-14T22:00:00,2026-02-15T01:15:00,88.39239,87.7334543,18.62272969,411.52689651,4.0,-13.58315907,-0.03300673,13,STOP,EMA_MACD,False
SOLUSDT,LONG,2026-02-15T02:00:00,2026-02-15T02:30:00,88.302255,87.74049258,18.12877494,400.20292691,4.0,-11.46064018,-0.02863707,2,STOP,EMA_MACD,False
SOLUSDT,LONG,2026-02-15T03:00:00,2026-02-15T03:30:00,88.202105,87.70833557,17.93745704,395.53036736,4.0,-10.11912236,-0.02558368,2,STOP,EMA_MACD,False
SOLUSDT,LONG,2026-02-15T04:00:00,2026-02-15T10:15:00,89.59419,89.23571071,17.47048518,391.31349218,4.0,-7.51250522,-0.01919818,25,STOP,EMA_MACD+EMA_BB,False
BTCUSDT,LONG,2026-02-15T10:30:00,2026-02-15T12:15:00,70562.54529,70129.02748767,0.02199321,387.97413626,4.0,-10.77214949,-0.02776512,7,STOP,EMA_MACD,False
XAGUSDT,SHORT,2026-02-15T00:45:00,2026-02-15T16:00:00,77.32384,77.71140256,20.97829961,405.53067058,4.0,-9.43135381,-0.02325682,61,STOP,EMA_MACD,False
ETHUSDT,SHORT,2026-02-15T12:15:00,2026-02-15T21:30:00,2063.26046,1961.05020737,0.37149856,383.24914662,4.0,81.68522738,0.21313871,37,STOP,EMA_MACD,True
BTCUSDT,SHORT,2026-02-15T16:00:00,2026-02-15T22:30:00,68884.328285,69061.58722753,0.02310833,397.95036442,4.0,-5.37123691,-0.01349725,26,STOP,EMA_MACD,False
XAGUSDT,LONG,2026-02-15T21:30:00,2026-02-15T23:00:00,78.006835,77.38771314,21.23746379,414.16683347,4.0,-14.46865246,-0.03493436,6,STOP,EMA_MACD,False
BNBUSDT,SHORT,2026-02-15T23:00:00,2026-02-16T01:00:00,612.04056,617.69002562,2.64421866,404.59226795,4.0,-16.23909306,-0.04013693,8,STOP,EMA_MACD,False
SOLUSDT,SHORT,2026-02-15T23:00:00,2026-02-16T01:00:00,85.281885,86.55867219,18.91894621,403.36084874,4.0,-25.45588508,-0.06310946,8,STOP,EMA_MACD,False
XAGUSDT,SHORT,2026-02-16T01:00:00,2026-02-16T01:15:00,76.92444,77.44880973,20.14429675,387.3971867,4.0,-11.80695569,-0.03047765,1,STOP,EMA_MACD,False
BTCUSDT,SHORT,2026-02-16T01:15:00,2026-02-16T04:45:00,68619.81565,68857.35039792,0.02229248,382.42647022,4.0,-6.52112146,-0.01705196,14,STOP,EMA_MACD,False
ETHUSDT,SHORT,2026-02-16T01:30:00,2026-02-16T04:45:00,1958.4579,1971.0561813,0.78111766,382.44651316,4.0,-11.06850515,-0.02894132,13,STOP,EMA_MACD,False
XAGUSDT,SHORT,2026-02-16T04:45:00,2026-02-16T06:30:00,75.26693,76.49324285,19.92381519,374.90110087,4.0,-25.64228718,-0.06839747,7,STOP,EMA_MACD,False
SOLUSDT,SHORT,2026-02-16T06:30:00,2026-02-16T09:00:00,84.93241,85.6339971,17.40753498,369.61597445,4.0,-13.40055835,-0.03625535,10,STOP,EMA_MACD,False
LTCUSDT,SHORT,2026-02-16T04:45:00,2026-02-16T09:00:00,54.627935,54.55486452,27.3676865,373.76004985,4.0,0.8045377,0.00215255,17,STOP,EMA_MACD,False
LTCUSDT,SHORT,2026-02-16T10:15:00,2026-02-16T12:15:00,54.17861,54.41972091,26.49680975,358.89008038,4.0,-7.53967363,-0.02100831,8,STOP,EMA_MACD,False
BNBUSDT,LONG,2026-02-16T13:00:00,2026-02-16T13:30:00,628.391175,616.91843209,2.25729597,354.61621627,4.0,-27.02178924,-0.07620009,2,STOP,EMA_MACD,False
XAGUSDT,LONG,2026-02-16T11:00:00,2026-02-16T14:30:00,77.045395,76.64353645,18.87308496,363.52107149,4.0,-8.74454419,-0.02405512,14,STOP,EMA_MACD,False
LTCUSDT,SHORT,2026-02-16T13:30:00,2026-02-16T14:30:00,53.889045,54.39908743,25.5140191,343.73153088,4.0,-14.11837851,-0.04107385,4,STOP,EMA_MACD,False
ETHUSDT,SHORT,2026-02-16T14:30:00,2026-02-16T14:45:00,1967.74395,1982.40768977,0.67893264,333.99139904,4.0,-11.02844632,-0.03302015,1,STOP,EMA_MACD,False
ETHUSDT,SHORT,2026-02-16T14:45:00,2026-02-16T15:00:00,1970.170305,1982.18584849,0.67064781,330.32260135,4.0,-9.11845356,-0.02760469,1,STOP,EMA_MACD,False
