symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
BNBUSDT,LONG,2026-02-14T01:00:00,2026-02-14T03:45:00,625.15633,617.963038,1.27777113,199.70167785,4.0,-9.82674968,-0.04920715,11,STOP,EMA_BB,False
BTCUSDT,LONG,2026-02-14T00:45:00,2026-02-14T13:00:00,69193.87536,69475.10952062,0.01156172,200.0,4.0,2.61024914,0.01305125,49,STOP,EMA_BB,False
BNBUSDT,LONG,2026-02-14T07:30:00,2026-02-14T21:30:00,622.121785,629.63363218,1.27228054,197.87836068,4.0,8.92014338,0.04507892,56,STOP,EMA_MACD,False
LTCUSDT,LONG,2026-02-14T14:45:00,2026-02-14T21:30:00,56.30433,55.91351174,14.34054556,201.85870245,4.0,-6.2482531,-0.0309536,27,STOP,EMA_MACD+EMA_BB,False
SOLUSDT,LONG,2026-02-14T22:30:00,2026-02-15T01:15:00,88.7329,87.7334543,8.96331609,198.83525755,4.0,-9.59103723,-0.0482361,11,STOP,EMA_BB,False
BNBUSDT,LONG,2026-02-15T04:00:00,2026-02-15T08:30:00,639.03712,633.15580346,1.23031701,196.55455943,4.0,-7.861964,-0.03999889,18,STOP,EMA_MACD+EMA_BB,False
SOLUSDT,LONG,2026-02-15T04:00:00,2026-02-15T10:15:00,89.59419,89.23571071,8.78866912,196.85342282,4.0,-3.77922662,-0.01919818,25,STOP,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-15T13:00:00,2026-02-16T00:00:00,2017.10979,1976.56434885,0.38550067,194.39929414,4.0,15.01446913,0.0772352,44,STOP,EMA_MACD+EMA_BB,False
BNBUSDT,SHORT,2026-02-15T13:00:00,2026-02-16T01:00:00,622.634645,617.69002562,1.24698141,194.10345677,4.0,5.54718372,0.02857849,48,STOP,EMA_MACD,False
BTCUSDT,SHORT,2026-02-16T02:00:00,2026-02-16T04:45:00,68463.280805,68857.35039792,0.01159087,198.38730383,4.0,-5.20427715,-0.02623291,11,STOP,EMA_MACD,False
SOLUSDT,SHORT,2026-02-16T05:15:00,2026-02-16T09:00:00,84.842545,85.6339971,9.35965345,198.52420476,4.0,-8.04595797,-0.04052885,15,STOP,EMA_MACD,False
LTCUSDT,SHORT,2026-02-16T02:30:00,2026-02-16T09:00:00,54.49813,54.55486452,14.55724574,198.33566763,4.0,-1.46090287,-0.00736581,26,STOP,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-02-16T11:00:00,2026-02-16T12:15:00,53.63942,54.41972091,14.56053008,195.25459714,4.0,-11.99095422,-0.06141189,5,STOP,EMA_MACD+EMA_BB,False
BTCUSDT,LONG,2026-02-16T13:00:00,2026-02-16T13:15:00,69766.493,68693.69221066,0.01103689,192.50122457,4.0,-12.45164883,-0.06468348,1,STOP,EMA_MACD,False
BNBUSDT,LONG,2026-02-16T13:00:00,2026-02-16T13:30:00,628.391175,616.91843209,1.22722236,192.79392482,4.0,-14.69091532,-0.07620009,2,STOP,EMA_MACD,False
ETHUSDT,SHORT,2026-02-16T14:15:00,2026-02-16T14:45:00,1956.98012,1982.40768977,0.38388288,187.81279207,4.0,-10.36611418,-0.05519387,2,STOP,EMA_MACD,False
SOLUSDT,SHORT,2026-02-16T14:00:00,2026-02-16T17:15:00,84.03376,84.78437351,8.91270925,187.24211755,4.0,-7.29185077,-0.03894343,13,STOP,EMA_MACD+EMA_BB,False
XAGUSDT,SHORT,2026-02-16T15:00:00,2026-02-16T18:45:00,76.12564,76.89516188,9.7311856,185.19818285,4.0,-8.08398978,-0.04365048,15,STOP,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-16T19:15:00,2026-02-16T20:15:00,1968.74245,1980.96172266,0.36960537,181.91444561,4.0,-5.10024155,-0.02803648,4,STOP,EMA_MACD,False
BNBUSDT,LONG,2026-02-16T22:00:00,2026-02-17T02:00:00,627.990575,622.13758698,1.15184012,180.83618468,4.0,-7.31768553,-0.04046583,16,STOP,EMA_MACD+EMA_BB,False
XAGUSDT,SHORT,2026-02-16T23:45:00,2026-02-17T02:15:00,76.355295,76.44748719,9.46071338,180.59389022,4.0,-1.45045326,-0.00803157,10,STOP,EMA_MACD,False
SOLUSDT,LONG,2026-02-17T02:15:00,2026-02-17T04:00:00,87.3308,86.06313954,8.197195,178.9668993,4.0,-10.95979757,-0.06123924,7,STOP,EMA_MACD,False
LTCUSDT,LONG,2026-02-17T04:15:00,2026-02-17T05:15:00,55.4831,54.89893044,12.74028815,176.71767037,4.0,-8.00500813,-0.04529829,4,STOP,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T04:45:00,2026-02-17T08:00:00,75.06723,75.32992009,9.38591235,176.14361022,4.0,-3.03023194,-0.01720319,13,STOP,EMA_MACD,False
LTCUSDT,LONG,2026-02-17T08:00:00,2026-02-17T09:00:00,55.86367,55.09108148,12.39747941,173.14217459,4.0,-10.12837399,-0.05849744,4,STOP,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-17T07:15:00,2026-02-17T13:00:00,1971.69801,1981.62870575,0.35707747,176.01223188,4.0,-4.11068522,-0.02335454,23,STOP,EMA_MACD,False
BTCUSDT,SHORT,2026-02-17T09:00:00,2026-02-17T13:15:00,68006.866455,68331.59486182,0.01013134,172.25016226,4.0,-3.84245021,-0.02230738,17,STOP,EMA_MACD,False
XAGUSDT,SHORT,2026-02-17T13:45:00,2026-02-17T14:30:00,72.91047,74.70501299,9.3602225,170.6145554,4.0,-17.35000715,-0.10169125,3,STOP,EMA_BB,False
SOLUSDT,SHORT,2026-02-17T14:30:00,2026-02-17T16:30:00,83.71424,84.99597175,7.98382485,167.08995732,4.0,-10.77190288,-0.06446769,8,STOP,EMA_BB,False
LTCUSDT,SHORT,2026-02-17T15:00:00,2026-02-17T16:30:00,53.729285,54.68761229,12.47158143,167.52228831,4.0,-12.49270895,-0.07457341,6,STOP,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-17T18:00:00,2026-02-17T18:15:00,1964.88824,1979.75664263,0.32784335,161.04388557,4.0,-5.39179716,-0.0334803,1,STOP,EMA_MACD,False
